Text;Group;IsGroupSwitch;DuplicateCheck;Category;ValidationRegex
Ваш второй ребенок с инвалидностью? (_Да/Нет_);4;0;0;;((Д|д)а|(Н|н)ет)
Если да, то укажите группу инвалидности второго ребенка или поставьте прочерк `-`;4;0;0;;
Заполнить данные по третьему ребенку, если он приехал c вами;5;1;0;;
ФИО третьего ребенка;5;0;0;;
Дата рождения третьего ребенка (в формате _31.12.1999_);5;0;0;;^([0-2]?[1-9]|[1-3][01])\.(0?[1-9]|1[0-2])\.\d{4}$
Адрес проживания третьего ребенка в Украине  (область, район, город, нас.пункт, улица, дом, квартира);5;0;0;;
Номер миграционной карты третьего ребенка;5;0;0;;
Ваш третий ребенок с инвалидностью? (_Да/Нет_);5;0;0;;((Д|д)а|(Н|н)ет)
Если да, то укажите группу инвалидности третьего ребенка или поставьте прочерк `-`;5;0;0;;
Заполнить данные по четвертому ребенку, если он приехал c вами;6;1;0;;
ФИО четвертого ребенка;6;0;0;;
Дата рождения четвертого ребенка (в формате _31.12.1999_);6;0;0;;^([0-2]?[1-9]|[1-3][01])\.(0?[1-9]|1[0-2])\.\d{4}$
Адрес проживания четвертого ребенка в Украине  (область, район, город, нас.пункт, улица, дом, квартира);6;0;0;;
Номер миграционной карты четвертого ребенка;6;0;0;;
Ваш четвертый ребенок с инвалидностью? (_Да/Нет_);6;0;0;;((Д|д)а|(Н|н)ет)
Если да, то укажите группу инвалидности четвертого ребенка или поставьте прочерк `-`;6;0;0;;
Заполнить данные по пятому ребенку, если он приехал c вами;7;1;0;;
ФИО пятого ребенка;7;0;0;;
Дата рождения пятого ребенка (в формате _31.12.1999_);7;0;0;;^([0-2]?[1-9]|[1-3][01])\.(0?[1-9]|1[0-2])\.\d{4}$
Адрес проживания пятого ребенка в Украине  (область, район, город, нас.пункт, улица, дом, квартира);7;0;0;;
Номер миграционной карты пятого ребенка;7;0;0;;
Ваш пятый ребенок с инвалидностью? (_Да/Нет_);7;0;0;;((Д|д)а|(Н|н)ет)
Если да, то укажите группу инвалидности пятого ребенка или поставьте прочерк `-`;7;0;0;;
Заполнить данные по шестому ребенку, если он приехал c вами;8;1;0;;
ФИО шестого ребенка;8;0;0;;
Дата рождения шестого ребенка (в формате _31.12.1999_);8;0;0;;^([0-2]?[1-9]|[1-3][01])\.(0?[1-9]|1[0-2])\.\d{4}$
Адрес проживания шестого ребенка в Украине  (область, район, город, нас.пункт, улица, дом, квартира);8;0;0;;
Номер миграционной карты шестого ребенка;8;0;0;;
Ваш шестой ребенок с инвалидностью? (_Да/Нет_);8;0;0;;((Д|д)а|(Н|н)ет)
Если да, то укажите группу инвалидности шестого ребенка или поставьте прочерк `-`;8;0;0;;
Есть ли взрослые, прибывшие с Вами?;9;1;0;;
Укажите, на какое количество взрослых будете заполнять анкету;9;0;0;;
Заполнить данные по первому взрослому;10;1;0;;
ФИО первого взрослого;10;0;0;;
Дата рождения первого взрослого (в формате _31.12.1999_);10;0;0;;^([0-2]?[1-9]|[1-3][01])\.(0?[1-9]|1[0-2])\.\d{4}$
Адрес проживания первого взрослого в Украине  (область, район, город, нас.пункт, улица, дом, квартира);10;0;0;;
Номер миграционной карты первого взрослого;10;0;0;;
Первый взрослый с инвалидностью? (_Да/Нет_);10;0;0;;((Д|д)а|(Н|н)ет)
Если да, то укажите группу инвалидности первого взрослого или поставьте прочерк `-`;10;0;0;;
Заполнить данные по второму взрослому;11;1;0;;
ФИО второго взрослого;11;0;0;;
Дата рождения второго взрослого (в формате _31.12.1999_);11;0;0;;^([0-2]?[1-9]|[1-3][01])\.(0?[1-9]|1[0-2])\.\d{4}$
Адрес проживания второго взрослого в Украине  (область, район, город, нас.пункт, улица, дом, квартира);11;0;0;;
Номер миграционной карты второго взрослого;11;0;0;;
Второй взрослый с инвалидностью? (_Да/Нет_);11;0;0;;((Д|д)а|(Н|н)ет)
Если да, то укажите группу инвалидности второго взрослого или поставьте прочерк `-`;11;0;0;;
Заполнить данные по третьему взрослому;12;1;0;;
ФИО третьего взрослого;12;0;0;;
Дата рождения третьего взрослого (в формате _31.12.1999_);12;0;0;;^([0-2]?[1-9]|[1-3][01])\.(0?[1-9]|1[0-2])\.\d{4}$
Адрес проживания третьего взрослого в Украине  (область, район, город, нас.пункт, улица, дом, квартира);12;0;0;;
Номер миграционной карты третьего взрослого;12;0;0;;
Третий взрослый с инвалидностью? (_Да/Нет_);12;0;0;;((Д|д)а|(Н|н)ет)
Если да, то укажите группу инвалидности третьего взрослого или поставьте прочерк `-`;12;0;0;;
Заполнить данные по четвертому взрослому;13;1;0;;
ФИО четвертого взрослого;13;0;0;;
Дата рождения четвертого взрослого (в формате _31.12.1999_);13;0;0;;^([0-2]?[1-9]|[1-3][01])\.(0?[1-9]|1[0-2])\.\d{4}$
Адрес проживания четвертого взрослого в Украине  (область, район, город, нас.пункт, улица, дом, квартира);13;0;0;;
Номер миграционной карты четвертого взрослого;13;0;0;;
Четвертый взрослый с инвалидностью? (_Да/Нет_);13;0;0;;((Д|д)а|(Н|н)ет)
Если да, то укажите группу инвалидности четвертого взрослого или поставьте прочерк `-`;13;0;0;;
Заполнить данные по пятому взрослому;14;1;0;;
ФИО пятого взрослого;14;0;0;;
Дата рождения пятого взрослого (в формате _31.12.1999_);14;0;0;;^([0-2]?[1-9]|[1-3][01])\.(0?[1-9]|1[0-2])\.\d{4}$
Адрес проживания пятого взрослого в Украине  (область, район, город, нас.пункт, улица, дом, квартира);14;0;0;;
Номер миграционной карты пятого взрослого;14;0;0;;
Пятый взрослый с инвалидностью? (_Да/Нет_);14;0;0;;((Д|д)а|(Н|н)ет)
Если да, то укажите группу инвалидности пятого взрослого или поставьте прочерк `-`;14;0;0;;
Заполнить данные по шестому взрослому;15;1;0;;
ФИО шестого взрослого;15;0;0;;
Дата рождения шестого взрослого (в формате _31.12.1999_);15;0;0;;^([0-2]?[1-9]|[1-3][01])\.(0?[1-9]|1[0-2])\.\d{4}$
Адрес проживания шестого взрослого в Украине  (область, район, город, нас.пункт, улица, дом, квартира);15;0;0;;
Номер миграционной карты шестого ребенка;15;0;0;;
Шестой взрослый с инвалидностью? (_Да/Нет_);15;0;0;;((Д|д)а|(Н|н)ет)
Если да, то укажите группу инвалидности шестого взрослого или поставьте прочерк `-`;15;0;0;;
Какую помощь уже получали?;0;0;0;;
Где ее получали?;0;0;0;;
Ваши жалобы и продложения по работе наших волонтеров;0;0;0;;
